Year,GDP,CPI,HH Consumption,Capital Formation,Crisis,GDP_delta,CPI_delta,HH_Consumption_delta,Capital_Formation_delta
1981,7.927156824,12.26590851,65.81894238,21.38449294,0,-1.9529206980000007,-5.7695216500000015,5.300785549999993,0.5129913500000001
1982,2.24644534,9.445423954,69.87838867,22.58345268,0,-5.680711484,-2.8204845559999985,4.059446290000011,1.1989597399999994
1983,4.192967368,11.79974052,60.70659017,29.40177156,0,1.9465220279999995,2.3543165659999996,-9.171798500000008,6.81831888
1984,6.975527809,10.45503482,61.87493395,24.88467494,0,2.782560441,-1.3447057000000004,1.1683437800000007,-4.51709662
1985,2.462143564,4.724536157,60.38948151,25.34694597,0,-4.513384245,-5.730498663,-1.485452439999996,0.46227103000000014
1986,5.875045104,5.822666962,63.96628242,27.64651732,0,3.41290154,1.0981308049999994,3.576800909999996,2.299571350000001
1987,4.925927365,9.278656132,61.9869585,27.24671899,0,-0.9491177390000001,3.4559891700000005,-1.9793239199999988,-0.3997983299999994
1988,5.780498488,8.045367151,63.1381206,29.09802202,0,0.8545711230000004,-1.2332889809999994,1.1511621000000005,1.8513030299999969
1989,7.456586925,6.415539635,59.95405082,30.6830326,0,1.6760884369999998,-1.6298275160000006,-3.1840697800000015,1.5850105800000023
1990,7.242131639,7.819191447,63.48976366,32.70769009,0,-0.21445528599999975,1.4036518119999997,3.535712840000002,2.024657489999999
1991,6.911982836,9.419058277,64.22161862,31.86942548,0,-0.33014880300000016,1.5998668299999999,0.7318549599999997,-0.8382646099999995
1992,6.497506517,7.52351717,62.8399539,30.17582734,0,-0.41447631900000026,-1.8955411069999997,-1.3816647200000034,-1.6935981399999989
1993,6.49640812,9.671893382,58.51199512,28.28067311,0,-0.0010983969999998067,2.1483762120000005,-4.327958779999996,-1.8951542300000028
1994,7.539971096,8.532005254,59.68276884,29.57068775,0,1.0435629760000005,-1.1398881280000008,1.1707737199999997,1.2900146400000025
1995,8.220007399,9.420323216,61.57705559,30.42981109,0,0.6800363029999996,0.8883179620000003,1.8942867499999991,0.85912334
1996,7.818187077,7.973280856,62.35718256,31.60236064,0,-0.40182032199999984,-1.4470423600000002,0.7801269699999978,1.1725495499999994
1997,4.699878854,6.226141634,61.68126344,30.30767579,1,-3.1183082230000005,-1.7471392219999995,-0.6759191199999961,-1.2946848499999994
1998,-13.12672549,58.45104447,67.78145202,27.42950667,1,-17.826604344,52.224902836,6.100188580000001,-2.8781691200000026
1999,0.791126082,20.47783111,73.94379683,22.13875931,0,13.917851572,-37.97321336,6.162344809999993,-5.2907473599999975
2000,4.920067747,3.68861916,61.65037104,22.24569693,0,4.128941665,-16.789211950000002,-12.293425789999993,0.10693762000000007
2001,3.643466447,11.50011488,63.15016139,22.53926632,0,-1.2766012999999998,7.81149572,1.4997903499999978,0.29356938999999826
2002,4.499475391,11.90011757,67.62223703,21.40407021,0,0.8560089439999996,0.4000026900000009,4.472075639999993,-1.135196109999999
2003,4.780369122,6.757317194,68.13801992,25.59849839,0,0.2808937309999999,-5.142800376000001,0.5157828900000112,4.194428179999999
2004,5.030873945,6.064059885,66.76848187,24.05636637,0,0.250504823,-0.6932573089999998,-1.3695380500000027,-1.5421320200000004
2005,5.692571304,10.45319842,64.36249016,25.08140994,0,0.6616973590000006,4.389138535,-2.405991710000009,1.0250435700000011
2006,5.500951785,13.1086721,62.66905671,25.40021729,0,-0.19161951900000052,2.65547368,-1.6934334499999935,0.31880735000000016
2007,6.345022227,6.406562813,63.54268954,24.92028385,0,0.8440704420000005,-6.702109287,0.8736328299999983,-0.47993343999999993
2008,6.0137036,10.22666455,60.62125273,27.81624458,0,-0.3313186269999999,3.8201017370000008,-2.921436809999996,2.8959607299999988
2009,4.628871183,4.38641555,58.70275631,30.98519241,0,-1.3848324170000001,-5.840249000000001,-1.9184964200000039,3.1689478300000005
2010,6.223854181,5.134204008,56.2171758,32.88012145,0,1.5949829979999999,0.7477884580000005,-2.4855805099999984,1.8949290399999974
2011,6.169784208,5.35604779,55.42335654,32.98433326,0,-0.05406997299999983,0.22184378199999966,-0.7938192599999994,0.10421181000000246
2012,6.030050653,4.279499996,56.38924649,35.07159361,0,-0.1397335550000003,-1.0765477939999997,0.9658899499999976,2.087260350000001
2013,5.557263689,6.412513302,56.82946236,33.83135679,0,-0.472786964,2.1330133059999996,0.44021587000000295,-1.2402368199999998
2014,5.006668426,6.394925408,57.13911659,34.60034391,0,-0.550595263,-0.01758789400000005,0.3096542299999996,0.7689871199999985
2015,4.8763223,6.363121131,57.4500179,34.06279218,0,-0.13034612600000006,-0.03180427699999999,0.31090130999999843,-0.537551729999997
2016,5.033069183,3.525805157,57.82680081,33.8587393,0,0.15674688300000028,-2.8373159739999996,0.37678291000000286,-0.204052879999999
2017,5.069785901,3.80879807,57.27557297,33.7105948,0,0.03671671800000009,0.28299291299999974,-0.5512278400000028,-0.1481445000000008
2018,5.17429154,3.198346416,56.97989563,34.57058583,0,0.1045056389999992,-0.6104516539999998,-0.29567733999999746,0.8599910299999962
2019,5.01928768,3.03058665,57.93046458,33.78014238,0,-0.15500385999999988,-0.1677597660000001,0.9505689499999974,-0.7904434499999979
2020,-2.065511829,1.920968006,58.93389228,32.34341205,0,-7.084799509,-1.109618644,1.0034277000000031,-1.4367303300000032
