Year,GDP,CPI,HH Consumption,Capital Formation,Crisis,GDP_delta,CPI_delta,HH_Consumption_delta,Capital_Formation_delta
1981,6.942104201,9.7,53.10259837,34.98689532,0,-0.4997225780000001,3.0250804649999994,2.5548381800000044,4.5655701900000025
1982,5.943152458,5.81890003,53.0775252,37.31369511,0,-0.9989517430000001,-3.8810999699999993,-0.025073170000005973,2.3267997899999955
1983,6.252230811,3.704235463,51.7545852,37.57026858,0,0.3090783530000003,-2.114664567,-1.3229399999999956,0.2565734699999993
1984,7.761790122,3.897272601,49.77247014,33.56002514,0,1.5095593109999994,0.19303713800000022,-1.9821150599999982,-4.010243439999996
1985,-1.025250253,0.346458791,51.99819285,27.5809991,0,-8.787040375,-3.55081381,2.2257227099999994,-5.979026040000001
1986,1.240594928,0.737002855,50.98052909,25.98541777,0,2.265845181,0.39054406399999997,-1.017663760000005,-1.5955813299999981
1987,5.191932113,0.290007909,48.17537152,23.08195104,0,3.951337185,-0.44699494599999995,-2.8051575699999987,-2.9034667300000017
1988,9.937719677,2.556519453,49.19779149,26.36137274,0,4.7457875640000005,2.266511544,1.0224199700000014,3.2794217000000003
1989,9.059600867,2.813200897,50.00237568,29.870858,0,-0.8781188100000001,0.25668144400000026,0.8045841899999999,3.509485259999998
1990,9.008527138,2.617801047,51.80255456,32.36032616,0,-0.05107372900000051,-0.19539985000000026,1.8001788799999972,2.4894681600000013
1991,9.545467414,4.358333333,52.17503922,37.79047394,0,0.536940276000001,1.740532286,0.3724846600000049,5.430147779999999
1992,8.885117978,4.7672283,50.2707689,35.3625516,0,-0.6603494360000006,0.40889496700000016,-1.904270320000002,-2.427922339999995
1993,9.894943334,3.536585366,48.28507381,39.1837114,0,1.0098253560000003,-1.230642934,-1.98569509,3.8211597999999967
1994,9.212041793,3.724970554,48.13645689,41.20208123,0,-0.6829015410000014,0.18838518799999981,-0.14861692000000204,2.0183698299999975
1995,9.829085197,3.450575096,47.92177028,43.63990237,0,0.6170434040000004,-0.27439545799999987,-0.2146866100000011,2.437821140000004
1996,10.00270069,3.488559459,46.03045733,41.47919852,0,0.1736154929999998,0.037984363000000076,-1.8913129499999997,-2.1607038500000044
1997,7.32274185,2.662514597,45.34608492,42.97308327,1,-2.6799588399999994,-0.8260448620000003,-0.6843724099999946,1.4938847499999994
1998,-7.359415188,5.270342003,41.56077997,26.6749752,1,-14.682157038,2.6078274059999997,-3.785304950000004,-16.298108069999998
1999,6.137612011,2.744561302,41.57944435,22.38200051,0,13.497027199,-2.5257807009999995,0.018664380000004144,-4.292974689999998
2000,8.85886817,1.534740237,43.75436657,26.86748915,0,2.7212561589999993,-1.209821065,2.174922219999999,4.48548864
2001,0.517675319,1.416784732,46.1224293,24.39821997,0,-8.341192850999999,-0.11795550500000007,2.3680627299999983,-2.4692691800000013
2002,5.390988307,1.807872463,45.01021625,24.77734315,0,4.8733129879999995,0.39108773100000005,-1.1122130500000011,0.37912318000000056
2003,5.788499286,1.089676326,44.57684308,22.76338506,0,0.39751097900000065,-0.7181961370000001,-0.43337316999999587,-2.013958089999999
2004,6.783437724,1.421271159,43.9978652,23.0495646,0,0.9949384379999993,0.33159483300000003,-0.5789778800000036,0.2861795399999991
2005,5.332139161,2.975070927,44.1864829,22.39641781,0,-1.451298563,1.553799768,0.18861770000000178,-0.653146790000001
2006,5.584847067,3.609235642,44.33496877,22.70352422,0,0.25270790600000037,0.6341647149999998,0.1484858700000018,0.3071064099999994
2007,6.298785927,2.027353178,45.15255358,23.40953497,0,0.7139388599999998,-1.581882464,0.8175848099999996,0.7060107500000008
2008,4.831769889,5.440782211,44.70620781,21.45830438,0,-1.4670160379999997,3.4134290330000003,-0.44634577000000064,-1.951230589999998
2009,-1.513528716,0.583308406,48.84121219,17.83569496,0,-6.345298605,-4.857473805,4.135004379999998,-3.62260942
2010,7.424847383,1.622852356,48.11658636,23.3865411,0,8.938376099000001,1.03954395,-0.7246258300000008,5.550846139999997
2011,5.293912834,3.174470922,47.96799063,23.18825797,0,-2.130934549,1.5516185659999997,-0.1485957299999967,-0.19828313000000009
2012,5.473454193,1.663571025,49.65117189,25.74862137,0,0.1795413589999999,-1.5108998969999998,1.6831812599999978,2.5603634
2013,4.693722526,2.105012312,51.81049936,25.9371067,0,-0.7797316670000001,0.44144128699999996,2.159327470000001,0.18848533000000245
2014,6.006721946,3.142990509,52.41887743,24.97760843,0,1.3129994199999997,1.0379781970000002,0.6083780700000005,-0.959498270000001
2015,5.091532422,2.104389802,53.96186666,25.42426328,0,-0.9151895239999996,-1.038600707,1.5429892299999963,0.4466548500000016
2016,4.449781398,2.090566595,54.78770932,25.995512,0,-0.6417510240000004,-0.01382320700000017,0.8258426599999993,0.5712487199999998
2017,5.81272241,3.871201158,55.39175303,25.54734345,0,1.3629410120000003,1.780634563,0.6040437099999991,-0.4481685500000019
2018,4.843086976,0.884709161,57.42581641,23.89741996,0,-0.9696354339999997,-2.986491997,2.0340633800000063,-1.649923489999999
2019,4.413187421,0.662891866,59.77168776,21.04824039,0,-0.42989955500000043,-0.22181729499999991,2.345871349999996,-2.8491795700000004
2020,-5.456846584,-1.138702154,61.01202886,19.65800823,0,-9.870034005,-1.80159402,1.240341100000002,-1.39023216
