Year,GDP,CPI,HH Consumption,Capital Formation,Crisis,GDP_delta,CPI_delta,HH_Consumption_delta,Capital_Formation_delta
1981,3.422208738,13.08259852,61.16390973,26.4011131,0,0.0,0.0,0.0,0.0
1982,3.698406099,10.22172714,61.98727913,26.68617899,0,0.2761973609999999,-2.860871379999999,0.8233693999999971,0.2850658899999985
1983,1.89695179,10.02935656,60.5758374,28.23263453,1,-1.8014543090000001,-0.1923705800000004,-1.41144173,1.5464555400000002
1984,-7.039378201,50.33897564,66.43207649,19.83106317,0,-8.936329991,40.309619080000004,5.8562390900000025,-8.401571359999998
1985,-6.858377209,23.10310718,71.7043149,14.16584384,1,0.18100099199999953,-27.235868460000003,5.27223841,-5.665219329999999
1986,3.51068403,1.148137777,71.17400562,15.05236859,0,10.369061239,-21.954969403,-0.5303092799999973,0.8865247499999995
1987,4.361809673,4.069767442,68.36572529,17.16002966,0,0.8511256429999996,2.9216296649999998,-2.8082803300000023,2.107661069999999
1988,6.696931105,13.86006917,67.63949554,18.30049435,0,2.335121432,9.790301728,-0.7262297500000017,1.1404646900000017
1989,6.183918203,12.24299065,67.34275931,21.00958921,0,-0.5130129019999998,-1.6170785199999997,-0.2967362299999934,2.7090948600000004
1990,3.082672529,12.17735221,67.8866539,23.33171058,0,-3.1012456740000003,-0.06563843999999897,0.5438945899999936,2.322121369999998
1991,-0.436390081,19.26145853,70.6664766,19.71709251,0,-3.5190626099999998,7.084106319999998,2.779822699999997,-3.614618069999999
1992,0.417629066,8.651003579,72.36131518,20.74833124,0,0.854019147,-10.610454951,1.6948385800000096,1.0312387299999983
1993,2.181889986,6.716311041,72.63818992,23.1855368,0,1.76426092,-1.9346925379999993,0.2768747399999967,2.4372055600000024
1994,4.373665918,10.38647343,71.08529445,23.31145265,0,2.1917759320000005,3.6701623890000006,-1.5528954699999957,0.12591584999999839
1995,4.625225117,6.83199611,70.9686525,21.79429508,0,0.2515591989999999,-3.55447732,-0.11664195000000177,-1.5171575699999984
1996,5.860347872,7.476103778,70.27429513,23.2823367,0,1.235122755,0.6441076679999993,-0.6943573700000059,1.488041619999997
1997,5.186411674,5.590259397,69.59700286,24.06448803,1,-0.6739361979999998,-1.885844381,-0.6772922699999953,0.7821513300000014
1998,-0.5140906,9.234934323,72.05297405,19.98891564,1,-5.700502274000001,3.6446749259999995,2.4559711899999996,-4.075572390000001
1999,3.346451184,5.939049018,72.321269,16.20065404,0,3.860541784,-3.2958853049999988,0.2682949499999978,-3.7882615999999985
2000,4.382505001,3.977125032,71.71788074,15.68436416,0,1.036053817,-1.9619239860000004,-0.6033882600000027,-0.5162898800000004
2001,3.049231345,5.345501956,72.9024635,18.94517588,0,-1.3332736560000003,1.3683769239999997,1.1845827599999978,3.2608117200000013
2002,3.716255002,2.722772277,73.10427178,20.45913714,0,0.6670236570000001,-2.622729679,0.20180828000000872,1.5139612599999985
2003,5.086911135,2.289156627,73.50465871,19.52873561,0,1.3706561330000002,-0.4336156499999997,0.40038692999999625,-0.930401530000001
2004,6.569228512,4.829210836,73.59967103,20.73100745,0,1.4823173769999993,2.5400542089999996,0.09501231999999504,1.2022718400000016
2005,4.942505119,6.516853933,73.95388052,18.56653007,0,-1.6267233929999998,1.6876430970000005,0.35420949000000235,-2.164477380000001
2006,5.316416821,5.485232068,73.27738633,16.01533777,0,0.373911702,-1.031621865,-0.6764941899999997,-2.5511923000000003
2007,6.51929155,2.9,72.25637786,16.12864711,0,1.2028747290000004,-2.5852320680000003,-1.0210084699999982,0.1133093400000007
2008,4.344487305,8.260447036,73.18582452,18.96714692,0,-2.174804245,5.360447036,0.9294466599999964,2.838499810000002
2009,1.448323063,4.219030521,73.18921981,17.4317212,0,-2.896164242,-4.041416515000001,0.003395290000000273,-1.5354257200000028
2010,7.33449996,3.789836348,70.19245276,20.44177114,0,5.8861768969999995,-0.4291941729999995,-2.9967670500000025,3.010049940000002
2011,3.858232828,4.718417047,72.1314102,20.73993657,0,-3.476267132,0.9285806989999998,1.93895744000001,0.29816543000000095
2012,6.896951711,3.026963911,72.55498272,19.56072797,0,3.038718883,-1.6914531359999998,0.42357251999999335,-1.1792086000000026
2013,6.750531301,2.582687661,72.01076249,20.64222411,0,-0.14642041000000017,-0.44427625000000015,-0.5442202299999934,1.0814961400000023
2014,6.347987483,3.597823439,71.27402059,20.92397044,0,-0.40254381799999983,1.0151357779999999,-0.7367418999999984,0.2817463300000007
2015,6.348309717,0.674192537,72.47288809,21.34094787,0,0.0003222340000004209,-2.9236309019999998,1.1988674999999915,0.4169774299999993
2016,7.14945675,1.253698801,72.55358837,24.6185031,0,0.8011470329999995,0.579506264,0.08070028000000207,3.277555230000001
2017,6.930988326,2.853187726,72.18164786,25.55877386,0,-0.2184684240000001,1.5994889249999997,-0.3719405100000017,0.9402707599999971
2018,6.341485572,5.309346616,72.54282186,27.15058204,0,-0.5895027539999997,2.45615889,0.36117400000000544,1.591808180000001
2019,6.118525662,2.392065344,73.20643934,26.40180846,0,-0.22295991000000015,-2.917281272,0.6636174799999992,-0.7487735799999982
2020,-9.51829474,2.393162393,75.06904807,17.43337903,0,-15.636820402,0.001097048999999739,1.862608729999991,-8.96842943
