Year,GDP,CPI,HH Consumption,Capital Formation,Crisis,GDP_delta,CPI_delta,HH_Consumption_delta,Capital_Formation_delta
1981,5.906867763,12.66299307,65.28744327,29.67530952,0,0.7333267570000004,-7.040507449999998,-0.16112803000000042,0.5333853899999994
1982,5.352348751,5.259079903,63.57066311,26.51654201,0,-0.5545190120000001,-7.403913167000001,-1.716780159999999,-3.1587675100000006
1983,5.584202469,3.726536621,65.09958261,29.97527632,0,0.231853718,-1.5325432819999998,1.5289195000000007,3.4587343100000005
1984,5.752430251,0.86489843,63.65308003,29.47311368,0,0.16822778199999977,-2.861638191,-1.4465025800000006,-0.5021626399999981
1985,4.647240357,2.431731234,62.22101141,28.24458054,0,-1.1051898939999996,1.566832804,-1.4320686199999955,-1.2285331399999997
1986,5.533827767,1.841675968,61.38925635,25.87231091,0,0.8865874099999997,-0.5900552659999998,-0.8317550600000061,-2.3722696300000017
1987,9.518946022,2.466461128,60.08586809,27.87471199,0,3.9851182549999997,0.6247851600000001,-1.3033882599999984,2.002401080000002
1988,13.28811407,3.862730747,56.73841124,32.59088992,0,3.769168048000001,1.396269619,-3.3474568500000004,4.716177930000001
1989,12.19050599,5.35546508,55.49636033,35.06611671,0,-1.0976080800000005,1.492734333,-1.2420509099999961,2.4752267900000007
1990,11.16716344,5.863994744,56.55853307,41.35376259,0,-1.0233425500000006,0.5085296640000001,1.0621727400000012,6.2876458799999995
1991,8.558260321,5.709852599,54.97657034,42.84137755,0,-2.608903118999999,-0.1541421449999998,-1.5819627300000008,1.4876149599999948
1992,8.083388023,4.139145751,54.7701903,39.96394765,0,-0.4748722980000011,-1.5707068480000004,-0.2063800399999991,-2.8774298999999957
1993,8.251915915,3.312191684,51.95944385,39.65614664,0,0.16852789200000018,-0.826954067,-2.8107464500000034,-0.3078010099999986
1994,7.997024667,5.047748977,52.13090491,40.90778485,0,-0.25489124799999985,1.7355572930000003,0.1714610599999986,1.2516382099999959
1995,8.120315346,5.818181818,51.30092512,42.8626944,0,0.12329067900000013,0.7704328409999999,-0.8299797899999959,1.9549095500000035
1996,5.651944465,5.805105547,51.70894088,42.53268871,0,-2.4683708810000002,-0.013076271000000084,0.40801575999999784,-0.33000569000000013
1997,-2.753575153,5.625797471,53.00067299,34.27472926,1,-8.405519618,-0.17930807599999987,1.291732109999998,-8.257959450000001
1998,-7.634035286,7.99472875,51.67511671,20.07149552,1,-4.880460133,2.368931279,-1.3255562800000007,-14.203233740000002
1999,4.572307751,0.284726459,53.1886127,20.17340505,0,12.206343037,-7.710002291,1.5134959900000027,0.10190953000000036
2000,4.455247043,1.591969175,54.1337365,22.28260569,0,-0.11706070800000035,1.307242716,0.9451237999999975,2.109200640000001
2001,3.44424901,1.626908873,56.00279588,23.11243721,0,-1.010998033,0.034939698000000075,1.869059380000003,0.829831519999999
2002,6.149036052,0.697308977,55.65748483,22.74419377,0,2.7047870419999995,-0.929599896,-0.3453110499999994,-0.36824344000000053
2003,7.189243303,1.804349946,55.63127176,23.82929867,0,1.040207251,1.107040969,-0.02621307000000428,1.085104900000001
2004,6.289342143,2.759149262,55.87485523,25.6814147,0,-0.8999011599999998,0.9547993160000001,0.24358347000000435,1.8521160300000012
2005,4.187638429,4.540369196,55.83988046,30.42075086,1,-2.101703714,1.7812199340000001,-0.034974769999998045,4.739336159999997
2006,4.967810892,4.63747436,54.45115874,27.01164339,0,0.7801724630000004,0.09710516399999936,-1.3887217200000066,-3.4091074699999986
2007,5.435151691,2.241540953,52.5484005,25.49601429,1,0.4673407989999996,-2.395933407,-1.9027582399999972,-1.5156290999999982
2008,1.725698849,5.468489496,53.63939512,28.22643495,0,-3.7094528419999997,3.2269485430000002,1.0909946200000036,2.73042066
2009,-0.690618232,-0.845716092,53.0657802,20.63639838,0,-2.416317081,-6.314205588,-0.5736149200000042,-7.590036570000002
2010,7.513390533,3.247588424,52.17553058,25.35665463,0,8.204008765,4.093304516,-0.8902496199999987,4.720256250000002
2011,0.840132083,3.808790581,52.96094263,26.79145825,0,-6.67325845,0.5612021569999999,0.7854120499999979,1.4348036200000003
2012,7.242796202,3.014899503,53.26839704,28.02416571,0,6.402664119,-0.7938910779999997,0.3074544100000054,1.2327074599999968
2013,2.687495563,2.184886185,52.55224907,27.45710118,0,-4.555300639,-0.8300133180000002,-0.7161479700000015,-0.5670645299999997
2014,0.984468864,1.895141819,52.59621396,23.91901955,0,-1.703026699,-0.28974436599999986,0.043964889999998036,-3.538081629999997
2015,3.134047249,-0.900424963,51.34470309,22.35564064,0,2.149578385,-2.795566782,-1.251510869999997,-1.5633789100000008
2016,3.435157717,0.188149704,50.00945489,21.1054892,0,0.3011104680000001,1.088574667,-1.3352482000000023,-1.2501514399999998
2017,4.177681032,0.665631893,48.93086324,22.93429569,0,0.7425233149999997,0.47748218900000006,-1.07859165,1.828806489999998
2018,4.222870287,1.063897542,48.88851348,25.21959016,0,0.04518925500000037,0.39826564900000005,-0.04234976000000046,2.28529447
2019,2.114557796,0.706728601,49.77380777,23.81475257,0,-2.108312491,-0.3571689410000001,0.8852942899999974,-1.4048375899999996
2020,-6.050038469,-0.845937147,53.04759997,23.75538517,0,-8.164596265,-1.552665748,3.2737922000000026,-0.05936739999999929
